bbox, 1658.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.0181, 1.5134, -1.2937, 0.007284, -0.354756, 0.927083, 0.120885
cut, 2.0146, 1.5141, -1.2964, 0.008877, -0.357404, 0.926476, 0.117582
cut, 2.0110, 1.5148, -1.2990, 0.010441, -0.360055, 0.925837, 0.114356
cut, 2.0074, 1.5155, -1.3016, 0.011976, -0.362708, 0.925166, 0.111207
cut, 2.0037, 1.5161, -1.3042, 0.013480, -0.365363, 0.924465, 0.108133
cut, 2.0000, 1.5168, -1.3067, 0.014955, -0.368018, 0.923735, 0.105134
cut, 1.9963, 1.5174, -1.3092, 0.016400, -0.370675, 0.922976, 0.102211
cut, 1.9925, 1.5179, -1.3116, 0.017815, -0.373331, 0.922190, 0.099362
cut, 1.9887, 1.5185, -1.3140, 0.019200, -0.375987, 0.921377, 0.096586
cut, 1.9849, 1.5190, -1.3164, 0.020554, -0.378642, 0.920540, 0.093884
cut, 1.9811, 1.5195, -1.3187, 0.021878, -0.381296, 0.919678, 0.091254
cut, 1.9772, 1.5200, -1.3210, 0.023172, -0.383947, 0.918793, 0.088696
cut, 1.9732, 1.5205, -1.3232, 0.024436, -0.386596, 0.917886, 0.086208
cut, 1.9693, 1.5209, -1.3254, 0.025670, -0.389243, 0.916957, 0.083790
cut, 1.9653, 1.5214, -1.3276, 0.026874, -0.391886, 0.916008, 0.081442
cut, 1.9613, 1.5218, -1.3297, 0.028048, -0.394525, 0.915039, 0.079163
cut, 1.9572, 1.5222, -1.3318, 0.029192, -0.397161, 0.914051, 0.076950
cut, 1.9531, 1.5225, -1.3338, 0.030306, -0.399792, 0.913046, 0.074805
cut, 1.9490, 1.5229, -1.3359, 0.031391, -0.402418, 0.912023, 0.072726
cut, 1.9448, 1.5232, -1.3378, 0.032446, -0.405039, 0.910983, 0.070711
cut, 1.9406, 1.5235, -1.3398, 0.033472, -0.407655, 0.909928, 0.068761
cut, 1.9364, 1.5237, -1.3416, 0.034469, -0.410265, 0.908858, 0.066873
cut, 1.9321, 1.5240, -1.3435, 0.035437, -0.412869, 0.907773, 0.065048
cut, 1.9278, 1.5242, -1.3453, 0.036377, -0.415466, 0.906675, 0.063285
cut, 1.9235, 1.5244, -1.3471, 0.037288, -0.418056, 0.905564, 0.061582
cut, 1.9191, 1.5246, -1.3488, 0.038171, -0.420640, 0.904441, 0.059938
cut, 1.9147, 1.5248, -1.3505, 0.039026, -0.423216, 0.903305, 0.058352
cut, 1.9103, 1.5249, -1.3522, 0.039853, -0.425785, 0.902159, 0.056825
cut, 1.9058, 1.5250, -1.3538, 0.040652, -0.428345, 0.901001, 0.055353
cut, 1.9013, 1.5251, -1.3554, 0.041425, -0.430898, 0.899834, 0.053938
cut, 1.8968, 1.5252, -1.3569, 0.042170, -0.433442, 0.898657, 0.052577
cut, 1.8922, 1.5253, -1.3584, 0.042889, -0.435978, 0.897471, 0.051270
cut, 1.8876, 1.5253, -1.3599, 0.043582, -0.438505, 0.896277, 0.050016
cut, 1.8830, 1.5253, -1.3613, 0.044248, -0.441023, 0.895074, 0.048814
cut, 1.8783, 1.5253, -1.3627, 0.044888, -0.443532, 0.893864, 0.047663
cut, 1.8736, 1.5253, -1.3640, 0.045503, -0.446032, 0.892646, 0.046562
cut, 1.8689, 1.5252, -1.3653, 0.046093, -0.448522, 0.891422, 0.045510
cut, 1.8641, 1.5251, -1.3666, 0.046658, -0.451002, 0.890191, 0.044507
cut, 1.8593, 1.5250, -1.3678, 0.047198, -0.453472, 0.888954, 0.043551
cut, 1.8545, 1.5249, -1.3690, 0.047714, -0.455932, 0.887711, 0.042641
cut, 1.8496, 1.5248, -1.3702, 0.048205, -0.458381, 0.886463, 0.041778
cut, 1.8447, 1.5246, -1.3713, 0.048673, -0.460820, 0.885211, 0.040958
cut, 1.8398, 1.5244, -1.3724, 0.049118, -0.463249, 0.883953, 0.040183
cut, 1.8348, 1.5242, -1.3734, 0.049539, -0.465667, 0.882691, 0.039451
cut, 1.8298, 1.5240, -1.3744, 0.049938, -0.468073, 0.881426, 0.038761
cut, 1.8248, 1.5237, -1.3753, 0.050314, -0.470469, 0.880156, 0.038112
cut, 1.8197, 1.5235, -1.3763, 0.050668, -0.472853, 0.878883, 0.037504
cut, 1.8146, 1.5232, -1.3771, 0.051000, -0.475226, 0.877607, 0.036936
cut, 1.8095, 1.5229, -1.3780, 0.051310, -0.477588, 0.876329, 0.036407
cut, 1.8043, 1.5225, -1.3788, 0.051599, -0.479938, 0.875047, 0.035915
cut, 1.7991, 1.5222, -1.3795, 0.051867, -0.482276, 0.873763, 0.035461
cut, 1.7939, 1.5218, -1.3803, 0.052115, -0.484602, 0.872477, 0.035044
cut, 1.7886, 1.5214, -1.3809, 0.052342, -0.486917, 0.871189, 0.034662
cut, 1.7833, 1.5209, -1.3816, 0.052549, -0.489219, 0.869900, 0.034316
cut, 1.7779, 1.5205, -1.3822, 0.052737, -0.491510, 0.868609, 0.034003
cut, 1.7726, 1.5200, -1.3827, 0.052904, -0.493788, 0.867316, 0.033725
cut, 1.7672, 1.5195, -1.3833, 0.053053, -0.496053, 0.866023, 0.033479
cut, 1.7617, 1.5190, -1.3838, 0.053183, -0.498306, 0.864729, 0.033265
cut, 1.7562, 1.5185, -1.3842, 0.053295, -0.500547, 0.863434, 0.033083
cut, 1.7507, 1.5179, -1.3846, 0.053388, -0.502775, 0.862138, 0.032931
cut, 1.7452, 1.5174, -1.3850, 0.053463, -0.504991, 0.860842, 0.032810
cut, 1.7396, 1.5168, -1.3853, 0.053521, -0.507193, 0.859546, 0.032717
cut, 1.7340, 1.5161, -1.3856, 0.053561, -0.509383, 0.858250, 0.032654
cut, 1.7284, 1.5155, -1.3859, 0.053584, -0.511560, 0.856954, 0.032619
cut, 1.7227, 1.5148, -1.3861, 0.053591, -0.513724, 0.855659, 0.032611
cut, 1.7170, 1.5141, -1.3863, 0.053581, -0.515875, 0.854364, 0.032630
cut, 1.7112, 1.5134, -1.3864, 0.053555, -0.518013, 0.853069, 0.032675
cut, 1.7055, 1.5127, -1.3865, 0.053513, -0.520138, 0.851775, 0.032746
cut, 1.6997, 1.5119, -1.3865, 0.053455, -0.522250, 0.850482, 0.032841
cut, 1.6939, 1.5112, -1.3866, 0.053383, -0.524329, 0.849201, 0.032960
cut, 1.6939, 1.2112, -1.3866, 0.049784, -0.666509, 0.742490, 0.044689
cut, 1.6939, 1.1286, -1.3866, -0.047577, 0.705504, -0.705504, -0.047577
p2p,
cut, 2.1390, 1.6733, -0.4140, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.1390, 1.6733, -0.4740, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.1411, 1.6714, -0.4550, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0815, 1.6714, -0.7090, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0803, 1.6714, -0.7144, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0789, 1.6714, -0.7199, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0776, 1.6714, -0.7253, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0763, 1.6714, -0.7307, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0749, 1.6714, -0.7361, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0735, 1.6714, -0.7414, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0721, 1.6714, -0.7468, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0707, 1.6714, -0.7521, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0692, 1.6714, -0.7574, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0678, 1.6714, -0.7626, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0663, 1.6714, -0.7679, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0648, 1.6714, -0.7731, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0632, 1.6714, -0.7783, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0617, 1.6714, -0.7835, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0601, 1.6714, -0.7886, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0586, 1.6714, -0.7938, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0570, 1.6714, -0.7989, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0553, 1.6714, -0.8040, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0537, 1.6714, -0.8090, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0521, 1.6714, -0.8141, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0504, 1.6714, -0.8191, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0487, 1.6714, -0.8241, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0470, 1.6714, -0.8291, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0452, 1.6714, -0.8340, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0435, 1.6714, -0.8390, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0417, 1.6714, -0.8439, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0399, 1.6714, -0.8488, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0381, 1.6714, -0.8537, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0363, 1.6714, -0.8585, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0344, 1.6714, -0.8633, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0326, 1.6714, -0.8681, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0307, 1.6714, -0.8729, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0288, 1.6714, -0.8777, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0269, 1.6714, -0.8824, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0249, 1.6714, -0.8871, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0230, 1.6714, -0.8918, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0210, 1.6714, -0.8965, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0190, 1.6714, -0.9011, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0170, 1.6714, -0.9057, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0149, 1.6714, -0.9104, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0129, 1.6714, -0.9149, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0108, 1.6714, -0.9195, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0087, 1.6714, -0.9240, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0066, 1.6714, -0.9285, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0044, 1.6714, -0.9330, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0023, 1.6714, -0.9375, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.0001, 1.6714, -0.9420, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9979, 1.6714, -0.9464, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9957, 1.6714, -0.9508, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9935, 1.6714, -0.9552, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9912, 1.6714, -0.9595, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9890, 1.6714, -0.9639, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9867, 1.6714, -0.9682, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9844, 1.6714, -0.9725, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9821, 1.6714, -0.9767, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9797, 1.6714, -0.9810, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9773, 1.6714, -0.9852, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9750, 1.6714, -0.9894, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9726, 1.6714, -0.9936, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9701, 1.6714, -0.9978, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9677, 1.6714, -1.0019, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9652, 1.6714, -1.0060, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9628, 1.6714, -1.0101, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9603, 1.6714, -1.0142, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9578, 1.6714, -1.0182, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9552, 1.6714, -1.0223, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9527, 1.6714, -1.0263, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9501, 1.6714, -1.0303, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9475, 1.6714, -1.0342, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9449, 1.6714, -1.0382, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9423, 1.6714, -1.0421, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9396, 1.6714, -1.0460, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9369, 1.6714, -1.0498, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9343, 1.6714, -1.0537, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9315, 1.6714, -1.0575, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9288, 1.6714, -1.0613, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9261, 1.6714, -1.0651, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9233, 1.6714, -1.0689, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9205, 1.6714, -1.0726, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9177, 1.6714, -1.0763, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9149, 1.6714, -1.0800, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9121, 1.6714, -1.0837, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9092, 1.6714, -1.0873, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9063, 1.6714, -1.0910, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9034, 1.6714, -1.0946, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.9005, 1.6714, -1.0982, 0.000000, 1.000000, 0.000000, 0.000000
cut, 1.8976, 1.6714, -1.1017, 0.000000, 1.000000, 0.000000, 0.000000
