bbox, 1535.0032, 600.0027, -1040.0000, 1400.0001, 400.0019, 550.0000
cut, 2.6817, 0.7952, -0.6098, -0.000119, -0.047355, 0.996936, -0.062265
cut, 2.6774, 0.7952, -0.6076, -0.000136, -0.047601, 0.996926, -0.062233
cut, 2.6732, 0.7952, -0.6053, -0.000152, -0.047835, 0.996916, -0.062204
cut, 2.6690, 0.7952, -0.6031, -0.000167, -0.048056, 0.996907, -0.062181
cut, 2.6647, 0.7952, -0.6009, -0.000180, -0.048258, 0.996898, -0.062165
cut, 2.6604, 0.7952, -0.5987, -0.000192, -0.048441, 0.996890, -0.062157
cut, 2.6562, 0.7952, -0.5966, -0.000202, -0.048599, 0.996882, -0.062158
cut, 2.6519, 0.7952, -0.5944, -0.000209, -0.048730, 0.996875, -0.062170
cut, 2.6475, 0.7952, -0.5923, -0.000214, -0.048831, 0.996869, -0.062194
cut, 2.6432, 0.7952, -0.5902, -0.000217, -0.048898, 0.996863, -0.062232
cut, 2.6388, 0.7952, -0.5881, -0.000216, -0.048928, 0.996858, -0.062285
cut, 2.6344, 0.7952, -0.5860, -0.000212, -0.048919, 0.996854, -0.062354
cut, 2.6300, 0.7952, -0.5839, -0.000204, -0.048866, 0.996852, -0.062441
cut, 2.6256, 0.7952, -0.5818, -0.000193, -0.048766, 0.996850, -0.062547
cut, 2.6211, 0.7952, -0.5797, -0.000177, -0.048617, 0.996849, -0.062674
cut, 2.6166, 0.7952, -0.5777, -0.000157, -0.048415, 0.996850, -0.062823
cut, 2.6121, 0.7952, -0.5756, -0.000133, -0.048157, 0.996851, -0.062995
cut, 2.6075, 0.7952, -0.5736, -0.000103, -0.047839, 0.996854, -0.063191
cut, 2.6029, 0.7952, -0.5716, -0.000068, -0.047458, 0.996858, -0.063414
cut, 2.5983, 0.7952, -0.5696, -0.000028, -0.047012, 0.996863, -0.063664
cut, 2.5937, 0.7952, -0.5675, 0.000018, -0.046497, 0.996870, -0.063943
cut, 2.5890, 0.7952, -0.5655, 0.000071, -0.045909, 0.996877, -0.064252
cut, 2.5843, 0.7952, -0.5636, 0.000126, -0.045280, 0.996885, -0.064575
cut, 2.5795, 0.7952, -0.5616, 0.000182, -0.044650, 0.996893, -0.064890
cut, 2.5748, 0.7952, -0.5597, 0.000236, -0.044022, 0.996901, -0.065198
cut, 2.5701, 0.7952, -0.5577, 0.000291, -0.043394, 0.996909, -0.065498
cut, 2.5653, 0.7951, -0.5558, 0.000345, -0.042767, 0.996916, -0.065791
cut, 2.5606, 0.7951, -0.5540, 0.000399, -0.042140, 0.996924, -0.066076
cut, 2.5558, 0.7951, -0.5521, 0.000452, -0.041513, 0.996932, -0.066354
cut, 2.5510, 0.7951, -0.5503, 0.000506, -0.040887, 0.996940, -0.066625
cut, 2.5462, 0.7951, -0.5485, 0.000558, -0.040261, 0.996948, -0.066889
cut, 2.5414, 0.7951, -0.5467, 0.000611, -0.039635, 0.996955, -0.067145
cut, 2.5366, 0.7951, -0.5449, 0.000663, -0.039010, 0.996963, -0.067395
cut, 2.5318, 0.7951, -0.5432, 0.000715, -0.038385, 0.996971, -0.067638
cut, 2.5270, 0.7951, -0.5415, 0.000767, -0.037760, 0.996979, -0.067874
cut, 2.5222, 0.7950, -0.5398, 0.000818, -0.037135, 0.996987, -0.068103
cut, 2.5173, 0.7950, -0.5382, 0.000869, -0.036510, 0.996994, -0.068326
cut, 2.5125, 0.7950, -0.5365, 0.000920, -0.035886, 0.997002, -0.068542
cut, 2.5076, 0.7950, -0.5349, 0.000971, -0.035261, 0.997010, -0.068752
cut, 2.5027, 0.7950, -0.5333, 0.001021, -0.034636, 0.997018, -0.068956
cut, 2.4979, 0.7950, -0.5317, 0.001071, -0.034012, 0.997026, -0.069153
cut, 2.4930, 0.7949, -0.5302, 0.001121, -0.033387, 0.997033, -0.069344
cut, 2.4881, 0.7949, -0.5287, 0.001171, -0.032762, 0.997041, -0.069530
cut, 2.4832, 0.7949, -0.5272, 0.001221, -0.032137, 0.997049, -0.069709
cut, 2.4783, 0.7949, -0.5257, 0.001270, -0.031512, 0.997057, -0.069882
cut, 2.4734, 0.7949, -0.5243, 0.001319, -0.030886, 0.997064, -0.070050
cut, 2.4685, 0.7949, -0.5229, 0.001368, -0.030261, 0.997072, -0.070212
cut, 2.4635, 0.7948, -0.5215, 0.001417, -0.029635, 0.997080, -0.070369
cut, 2.4586, 0.7948, -0.5202, 0.001466, -0.029008, 0.997087, -0.070520
cut, 2.4537, 0.7948, -0.5188, 0.001515, -0.028381, 0.997095, -0.070665
cut, 2.4487, 0.7948, -0.5175, 0.001563, -0.027754, 0.997103, -0.070806
cut, 2.4437, 0.7948, -0.5162, 0.001612, -0.027126, 0.997110, -0.070941
cut, 2.4388, 0.7948, -0.5150, 0.001660, -0.026497, 0.997118, -0.071071
cut, 2.4338, 0.7947, -0.5138, 0.001708, -0.025868, 0.997125, -0.071196
cut, 2.4288, 0.7947, -0.5126, 0.001757, -0.025239, 0.997133, -0.071316
cut, 2.4238, 0.7947, -0.5114, 0.001805, -0.024608, 0.997140, -0.071432
cut, 2.4189, 0.7947, -0.5103, 0.001853, -0.023977, 0.997148, -0.071542
cut, 2.4139, 0.7947, -0.5091, 0.001901, -0.023345, 0.997155, -0.071648
cut, 2.4089, 0.7946, -0.5081, 0.001949, -0.022713, 0.997162, -0.071750
cut, 2.4038, 0.7946, -0.5070, 0.001996, -0.022079, 0.997169, -0.071847
cut, 2.3988, 0.7946, -0.5060, 0.002044, -0.021444, 0.997176, -0.071940
cut, 2.3938, 0.7946, -0.5050, 0.002092, -0.020809, 0.997183, -0.072028
cut, 2.3888, 0.7946, -0.5040, 0.002140, -0.020172, 0.997190, -0.072112
cut, 2.3837, 0.7945, -0.5031, 0.002188, -0.019535, 0.997197, -0.072193
cut, 2.3787, 0.7945, -0.5021, 0.002236, -0.018896, 0.997204, -0.072269
