bbox, 1876.8348, 541.5902, -1540.0000, 1270.0000, 700.0000, 1050.0000
cut, 2.5652, 1.0344, -1.2205, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5618, 1.0344, -1.2236, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5584, 1.0344, -1.2266, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5550, 1.0344, -1.2296, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5515, 1.0344, -1.2326, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5481, 1.0344, -1.2355, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5446, 1.0344, -1.2385, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5411, 1.0344, -1.2414, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5376, 1.0344, -1.2443, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5341, 1.0344, -1.2472, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5305, 1.0344, -1.2500, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5270, 1.0344, -1.2529, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5234, 1.0344, -1.2557, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5198, 1.0344, -1.2585, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5162, 1.0344, -1.2612, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5125, 1.0344, -1.2640, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5089, 1.0344, -1.2667, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5052, 1.0344, -1.2694, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.5015, 1.0344, -1.2721, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4978, 1.0344, -1.2747, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4940, 1.0344, -1.2774, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4903, 1.0344, -1.2800, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4865, 1.0344, -1.2826, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4827, 1.0344, -1.2851, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4789, 1.0344, -1.2877, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4750, 1.0344, -1.2902, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4712, 1.0344, -1.2927, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4673, 1.0344, -1.2952, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4634, 1.0344, -1.2976, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4595, 1.0344, -1.3001, 0.000000, 1.000000, 0.000000, 0.000000
cut, 2.4556, 1.0344, -1.3025, 0.000000, 1.000000, 0.000000, 0.000000
