bbox, 209.2779, 7424.8696, -3101.8853, 1737.4181, 725.7474, 1045.6676
cut, 1.0037, 2.3314, -0.7219, 0.264667, -0.553410, 0.712455, -0.340730
cut, 0.9988, 2.3302, -0.7219, 0.263954, -0.553751, 0.712893, -0.339811
cut, 0.9940, 2.3289, -0.7219, 0.263235, -0.554093, 0.713333, -0.338886
cut, 0.9891, 2.3277, -0.7219, 0.262512, -0.554436, 0.713775, -0.337955
cut, 0.9843, 2.3265, -0.7219, 0.261783, -0.554780, 0.714218, -0.337017
cut, 0.9794, 2.3252, -0.7219, 0.261049, -0.555126, 0.714663, -0.336072
cut, 0.9746, 2.3240, -0.7219, 0.260311, -0.555473, 0.715110, -0.335121
cut, 0.9698, 2.3228, -0.7219, 0.259567, -0.555821, 0.715558, -0.334163
cut, 0.9649, 2.3215, -0.7219, 0.258817, -0.556170, 0.716008, -0.333199
cut, 0.9601, 2.3203, -0.7219, 0.258062, -0.556521, 0.716459, -0.332227
cut, 0.9552, 2.3190, -0.7219, 0.257302, -0.556873, 0.716912, -0.331249
cut, 0.9504, 2.3178, -0.7219, 0.256537, -0.557226, 0.717366, -0.330263
cut, 0.9455, 2.3166, -0.7218, 0.255766, -0.557580, 0.717822, -0.329271
cut, 0.9407, 2.3153, -0.7218, 0.254990, -0.557935, 0.718280, -0.328271
cut, 0.9358, 2.3141, -0.7218, 0.254208, -0.558292, 0.718739, -0.327265
cut, 0.9310, 2.3129, -0.7218, 0.253421, -0.558650, 0.719200, -0.326251
cut, 0.9262, 2.3116, -0.7218, 0.252628, -0.559009, 0.719662, -0.325230
cut, 0.9213, 2.3104, -0.7218, 0.251829, -0.559369, 0.720126, -0.324202
cut, 0.9165, 2.3092, -0.7218, 0.251025, -0.559730, 0.720591, -0.323167
cut, 0.9116, 2.3079, -0.7218, 0.250214, -0.560093, 0.721058, -0.322124
cut, 0.9068, 2.3067, -0.7218, 0.249399, -0.560457, 0.721526, -0.321073
cut, 0.9019, 2.3054, -0.7218, 0.248577, -0.560822, 0.721996, -0.320015
cut, 0.8971, 2.3042, -0.7218, 0.247749, -0.561188, 0.722468, -0.318950
cut, 0.8922, 2.3030, -0.7218, 0.246916, -0.561555, 0.722940, -0.317876
cut, 0.8874, 2.3017, -0.7218, 0.246076, -0.561924, 0.723415, -0.316796
cut, 0.8826, 2.3005, -0.7218, 0.245230, -0.562293, 0.723891, -0.315707
cut, 0.8777, 2.2993, -0.7217, 0.244379, -0.562664, 0.724368, -0.314611
cut, 0.8729, 2.2980, -0.7217, 0.243521, -0.563036, 0.724846, -0.313506
cut, 0.8680, 2.2968, -0.7217, 0.242657, -0.563409, 0.725326, -0.312394
cut, 0.8632, 2.2955, -0.7217, 0.241787, -0.563783, 0.725808, -0.311274
cut, 0.8583, 2.2943, -0.7217, 0.240910, -0.564158, 0.726291, -0.310145
cut, 0.8535, 2.2931, -0.7217, 0.240027, -0.564534, 0.726775, -0.309009
cut, 0.8486, 2.2918, -0.7217, 0.239138, -0.564911, 0.727261, -0.307864
cut, 0.8438, 2.2906, -0.7217, 0.238243, -0.565289, 0.727748, -0.306711
cut, 0.8390, 2.2894, -0.7217, 0.237341, -0.565669, 0.728236, -0.305550
cut, 0.8341, 2.2881, -0.7217, 0.236432, -0.566049, 0.728726, -0.304380
cut, 0.8293, 2.2869, -0.7217, 0.235517, -0.566430, 0.729217, -0.303202
cut, 0.8244, 2.2857, -0.7217, 0.234595, -0.566813, 0.729709, -0.302016
cut, 0.8196, 2.2844, -0.7217, 0.233667, -0.567196, 0.730202, -0.300820
cut, 0.8147, 2.2832, -0.7217, 0.232732, -0.567580, 0.730697, -0.299617
cut, 0.8099, 2.2819, -0.7216, 0.231790, -0.567966, 0.731193, -0.298404
cut, 0.8050, 2.2807, -0.7216, 0.230841, -0.568352, 0.731690, -0.297183
cut, 0.8002, 2.2795, -0.7216, 0.229886, -0.568739, 0.732189, -0.295953
cut, 0.7954, 2.2782, -0.7216, 0.228924, -0.569127, 0.732688, -0.294714
cut, 0.7905, 2.2770, -0.7216, 0.227954, -0.569516, 0.733189, -0.293466
cut, 0.7857, 2.2758, -0.7216, 0.226978, -0.569906, 0.733691, -0.292209
