bbox, -467.7989, 1848.5463, -1670.8638, 1800.0001, 700.7219, 1200.0000
cut, 1.4984, 2.7243, -0.7081, 0.241223, -0.564024, 0.726119, -0.310548
cut, 1.4984, 2.7229, -0.7129, 0.243218, -0.563166, 0.725015, -0.313117
cut, 1.4984, 2.7216, -0.7177, 0.245182, -0.562314, 0.723918, -0.315644
cut, 1.4984, 2.7203, -0.7225, 0.247113, -0.561468, 0.722829, -0.318131
cut, 1.4984, 2.7189, -0.7273, 0.249013, -0.560628, 0.721747, -0.320577
cut, 1.4984, 2.7176, -0.7321, 0.250882, -0.559795, 0.720674, -0.322983
cut, 1.4984, 2.7162, -0.7370, 0.252721, -0.558967, 0.719608, -0.325350
cut, 1.4984, 2.7149, -0.7418, 0.254530, -0.558145, 0.718551, -0.327679
cut, 1.4984, 2.7135, -0.7466, 0.256309, -0.557330, 0.717501, -0.329970
cut, 1.4984, 2.7122, -0.7514, 0.258060, -0.556522, 0.716460, -0.332224
cut, 1.4984, 2.7109, -0.7562, 0.259783, -0.555720, 0.715428, -0.334442
cut, 1.4984, 2.7095, -0.7610, 0.261479, -0.554924, 0.714403, -0.336625
cut, 1.4984, 2.7082, -0.7659, 0.263147, -0.554135, 0.713387, -0.338773
cut, 1.4984, 2.7069, -0.7703, 0.264667, -0.553410, 0.712455, -0.340730
cut, 1.4984, 2.4805, -0.7703, 0.264667, -0.553410, 0.712455, -0.340730
cut, 1.4936, 2.4793, -0.7703, 0.264075, -0.553693, 0.712819, -0.339968
cut, 1.4887, 2.4781, -0.7703, 0.263480, -0.553977, 0.713184, -0.339201
cut, 1.4839, 2.4768, -0.7703, 0.262881, -0.554261, 0.713550, -0.338430
cut, 1.4790, 2.4756, -0.7703, 0.262279, -0.554546, 0.713917, -0.337655
cut, 1.4742, 2.4744, -0.7703, 0.261673, -0.554832, 0.714286, -0.336875
cut, 1.4693, 2.4731, -0.7703, 0.261063, -0.555119, 0.714655, -0.336090
cut, 1.4645, 2.4719, -0.7703, 0.260450, -0.555407, 0.715026, -0.335301
cut, 1.4596, 2.4706, -0.7703, 0.259834, -0.555696, 0.715397, -0.334507
cut, 1.4548, 2.4694, -0.7702, 0.259214, -0.555986, 0.715770, -0.333709
cut, 1.4500, 2.4682, -0.7702, 0.258590, -0.556276, 0.716144, -0.332906
cut, 1.4451, 2.4669, -0.7702, 0.257962, -0.556567, 0.716519, -0.332098
cut, 1.4403, 2.4657, -0.7702, 0.257331, -0.556859, 0.716895, -0.331285
cut, 1.4354, 2.4645, -0.7702, 0.256696, -0.557152, 0.717272, -0.330468
cut, 1.4306, 2.4632, -0.7702, 0.256058, -0.557446, 0.717650, -0.329646
cut, 1.4257, 2.4620, -0.7702, 0.255415, -0.557741, 0.718030, -0.328819
cut, 1.4209, 2.4608, -0.7702, 0.254769, -0.558036, 0.718410, -0.327987
cut, 1.4160, 2.4595, -0.7702, 0.254119, -0.558332, 0.718791, -0.327150
cut, 1.4112, 2.4583, -0.7702, 0.253465, -0.558630, 0.719174, -0.326309
cut, 1.4064, 2.4570, -0.7702, 0.252808, -0.558927, 0.719558, -0.325462
cut, 1.4015, 2.4558, -0.7702, 0.252146, -0.559226, 0.719942, -0.324610
cut, 1.3967, 2.4546, -0.7702, 0.251480, -0.559526, 0.720328, -0.323753
cut, 1.3918, 2.4533, -0.7702, 0.250811, -0.559826, 0.720715, -0.322891
cut, 1.3870, 2.4521, -0.7701, 0.250137, -0.560128, 0.721102, -0.322024
cut, 1.3821, 2.4509, -0.7701, 0.249460, -0.560430, 0.721491, -0.321152
cut, 1.3773, 2.4496, -0.7701, 0.248779, -0.560732, 0.721881, -0.320275
cut, 1.3724, 2.4484, -0.7701, 0.248093, -0.561036, 0.722272, -0.319392
cut, 1.3676, 2.4471, -0.7701, 0.247403, -0.561340, 0.722664, -0.318505
cut, 1.3628, 2.4459, -0.7701, 0.246710, -0.561646, 0.723057, -0.317612
cut, 1.3579, 2.4447, -0.7701, 0.246012, -0.561952, 0.723451, -0.316713
cut, 1.3531, 2.4434, -0.7701, 0.245310, -0.562258, 0.723846, -0.315810
cut, 1.3482, 2.4422, -0.7701, 0.244604, -0.562566, 0.724242, -0.314900
cut, 1.3434, 2.4410, -0.7701, 0.243893, -0.562874, 0.724639, -0.313986
cut, 1.3385, 2.4397, -0.7701, 0.243179, -0.563184, 0.725037, -0.313066
cut, 1.3337, 2.4385, -0.7701, 0.242460, -0.563493, 0.725436, -0.312140
cut, 1.3288, 2.4373, -0.7701, 0.241737, -0.563804, 0.725835, -0.311209
cut, 1.3240, 2.4360, -0.7701, 0.241009, -0.564115, 0.726236, -0.310273
cut, 1.3191, 2.4348, -0.7700, 0.240277, -0.564427, 0.726638, -0.309331
cut, 1.3143, 2.4335, -0.7700, 0.239541, -0.564740, 0.727041, -0.308383
cut, 1.3095, 2.4323, -0.7700, 0.238800, -0.565054, 0.727445, -0.307429
cut, 1.3046, 2.4311, -0.7700, 0.238055, -0.565368, 0.727849, -0.306470
cut, 1.2998, 2.4298, -0.7700, 0.237306, -0.565683, 0.728255, -0.305505
cut, 1.2949, 2.4286, -0.7700, 0.236552, -0.565999, 0.728661, -0.304534
cut, 1.2901, 2.4274, -0.7700, 0.235793, -0.566315, 0.729069, -0.303558
cut, 1.2852, 2.4261, -0.7700, 0.235030, -0.566632, 0.729477, -0.302576
cut, 1.2804, 2.4249, -0.7700, 0.234263, -0.566950, 0.729886, -0.301587
cut, 1.2755, 2.4236, -0.7700, 0.233490, -0.567269, 0.730296, -0.300593
cut, 1.2707, 2.4224, -0.7700, 0.232713, -0.567588, 0.730707, -0.299593
cut, 1.2659, 2.4212, -0.7700, 0.231932, -0.567908, 0.731119, -0.298587
cut, 1.2610, 2.4199, -0.7700, 0.231146, -0.568228, 0.731531, -0.297575
cut, 1.2562, 2.4187, -0.7700, 0.230355, -0.568549, 0.731944, -0.296556
cut, 1.2513, 2.4175, -0.7699, 0.229559, -0.568871, 0.732359, -0.295532
cut, 1.2465, 2.4162, -0.7699, 0.228759, -0.569193, 0.732774, -0.294502
cut, 1.2416, 2.4150, -0.7699, 0.227953, -0.569516, 0.733189, -0.293465
cut, 1.2368, 2.4137, -0.7699, 0.227143, -0.569840, 0.733606, -0.292422
cut, 1.2319, 2.4125, -0.7699, 0.226328, -0.570164, 0.734023, -0.291373
cut, 1.2271, 2.4113, -0.7699, 0.225509, -0.570489, 0.734441, -0.290317
cut, 1.2223, 2.4100, -0.7699, 0.224684, -0.570814, 0.734860, -0.289256
cut, 1.2174, 2.4088, -0.7699, 0.223854, -0.571140, 0.735280, -0.288188
cut, 1.2126, 2.4076, -0.7699, 0.223020, -0.571466, 0.735700, -0.287113
cut, 1.2077, 2.4063, -0.7699, 0.222180, -0.571793, 0.736121, -0.286032
cut, 1.2029, 2.4051, -0.7699, 0.221335, -0.572121, 0.736542, -0.284945
cut, 1.1980, 2.4039, -0.7699, 0.220486, -0.572449, 0.736965, -0.283851
cut, 1.1932, 2.4026, -0.7699, 0.219631, -0.572777, 0.737388, -0.282751
cut, 1.1883, 2.4014, -0.7699, 0.218771, -0.573106, 0.737811, -0.281644
cut, 1.1835, 2.4001, -0.7698, 0.217906, -0.573436, 0.738235, -0.280530
cut, 1.1787, 2.3989, -0.7698, 0.217036, -0.573766, 0.738660, -0.279410
cut, 1.1738, 2.3977, -0.7698, 0.216161, -0.574096, 0.739085, -0.278283
cut, 1.1690, 2.3964, -0.7698, 0.215280, -0.574427, 0.739511, -0.277149
cut, 1.1641, 2.3952, -0.7698, 0.214394, -0.574758, 0.739938, -0.276009
cut, 1.1593, 2.3940, -0.7698, 0.213503, -0.575090, 0.740364, -0.274862
cut, 1.1544, 2.3927, -0.7698, 0.212607, -0.575422, 0.740792, -0.273708
cut, 1.1496, 2.3915, -0.7698, 0.211705, -0.575754, 0.741220, -0.272547
cut, 1.1447, 2.3902, -0.7698, 0.210798, -0.576087, 0.741648, -0.271379
cut, 1.1399, 2.3890, -0.7698, 0.209885, -0.576420, 0.742077, -0.270204
cut, 1.1351, 2.3878, -0.7698, 0.208968, -0.576753, 0.742506, -0.269023
cut, 1.1302, 2.3865, -0.7698, 0.208044, -0.577087, 0.742936, -0.267834
cut, 1.1254, 2.3853, -0.7698, 0.207115, -0.577421, 0.743366, -0.266638
cut, 1.1205, 2.3841, -0.7698, 0.206181, -0.577755, 0.743796, -0.265436
cut, 1.1157, 2.3828, -0.7697, 0.205241, -0.578090, 0.744227, -0.264226
cut, 1.1108, 2.3816, -0.7697, 0.204296, -0.578424, 0.744658, -0.263009
cut, 1.1060, 2.3804, -0.7697, 0.203345, -0.578759, 0.745089, -0.261785
cut, 1.1011, 2.3791, -0.7697, 0.202389, -0.579094, 0.745520, -0.260553
cut, 1.0963, 2.3779, -0.7697, 0.201427, -0.579430, 0.745952, -0.259315
cut, 1.0915, 2.3766, -0.7697, 0.200459, -0.579765, 0.746384, -0.258069
cut, 1.0866, 2.3754, -0.7697, 0.199486, -0.580101, 0.746816, -0.256816
cut, 1.0818, 2.3742, -0.7697, 0.198507, -0.580437, 0.747248, -0.255555
cut, 1.0769, 2.3729, -0.7697, 0.197522, -0.580773, 0.747681, -0.254287
cut, 1.0721, 2.3717, -0.7697, 0.196531, -0.581108, 0.748113, -0.253012
cut, 1.0672, 2.3705, -0.7697, 0.195535, -0.581444, 0.748546, -0.251730
cut, 1.0624, 2.3692, -0.7697, 0.194533, -0.581781, 0.748978, -0.250440
cut, 1.0575, 2.3680, -0.7697, 0.193525, -0.582117, 0.749411, -0.249142
cut, 1.0527, 2.3667, -0.7697, 0.192511, -0.582453, 0.749843, -0.247837
cut, 1.0479, 2.3655, -0.7696, 0.191492, -0.582789, 0.750276, -0.246524
cut, 1.0430, 2.3643, -0.7696, 0.190466, -0.583125, 0.750709, -0.245204
cut, 1.0382, 2.3630, -0.7696, 0.189435, -0.583460, 0.751141, -0.243877
cut, 1.0333, 2.3618, -0.7696, 0.188398, -0.583796, 0.751573, -0.242541
cut, 1.0285, 2.3606, -0.7696, 0.187354, -0.584132, 0.752005, -0.241198
cut, 1.0236, 2.3593, -0.7696, 0.186305, -0.584467, 0.752437, -0.239847
cut, 1.0188, 2.3581, -0.7696, 0.185250, -0.584803, 0.752869, -0.238489
cut, 1.0139, 2.3569, -0.7696, 0.184189, -0.585138, 0.753300, -0.237123
cut, 1.0091, 2.3556, -0.7696, 0.183122, -0.585472, 0.753731, -0.235749
cut, 1.0043, 2.3544, -0.7696, 0.182049, -0.585807, 0.754162, -0.234367
cut, 0.9994, 2.3531, -0.7696, 0.180969, -0.586141, 0.754592, -0.232978
cut, 0.9946, 2.3519, -0.7696, 0.179884, -0.586475, 0.755022, -0.231581
cut, 0.9897, 2.3507, -0.7696, 0.178793, -0.586809, 0.755452, -0.230176
cut, 0.9849, 2.3494, -0.7696, 0.177695, -0.587142, 0.755881, -0.228763
cut, 0.9800, 2.3482, -0.7695, 0.176591, -0.587475, 0.756309, -0.227342
cut, 0.9752, 2.3470, -0.7695, 0.175482, -0.587808, 0.756737, -0.225913
cut, 0.9703, 2.3457, -0.7695, 0.174366, -0.588140, 0.757165, -0.224477
