bbox, 1235.0032, -774.9954, -1090.0000, 1400.0001, 550.0000, 400.0019
cut, 1.3343, -0.5015, -0.5887, 0.000000, 0.997653, 0.068478, 0.000000
cut, 1.3393, -0.5015, -0.5887, 0.000000, 0.997559, 0.069828, 0.000000
cut, 1.3443, -0.5015, -0.5887, 0.000000, 0.997464, 0.071176, 0.000000
cut, 1.3493, -0.5015, -0.5887, 0.000000, 0.997367, 0.072524, 0.000000
cut, 1.3543, -0.5015, -0.5886, 0.000000, 0.997268, 0.073870, 0.000000
cut, 1.3593, -0.5015, -0.5886, 0.000000, 0.997167, 0.075215, 0.000000
cut, 1.3643, -0.5015, -0.5886, 0.000000, 0.997065, 0.076559, 0.000000
cut, 1.3693, -0.5015, -0.5886, 0.000000, 0.996961, 0.077901, 0.000000
cut, 1.3743, -0.5015, -0.5885, 0.000000, 0.996855, 0.079243, 0.000000
cut, 1.3793, -0.5015, -0.5885, 0.000000, 0.996748, 0.080583, 0.000000
cut, 1.3843, -0.5015, -0.5885, 0.000000, 0.996639, 0.081921, 0.000000
cut, 1.3893, -0.5015, -0.5885, 0.000000, 0.996528, 0.083258, 0.000000
cut, 1.3943, -0.5015, -0.5884, 0.000000, 0.996415, 0.084594, 0.000000
cut, 1.3993, -0.5015, -0.5884, 0.000000, 0.996301, 0.085929, 0.000000
cut, 1.4043, -0.5015, -0.5884, 0.000000, 0.996185, 0.087262, 0.000000
cut, 1.4093, -0.5015, -0.5884, 0.000000, 0.996068, 0.088594, 0.000000
cut, 1.4143, -0.5015, -0.5883, 0.000000, 0.995949, 0.089924, 0.000000
cut, 1.4193, -0.5015, -0.5883, 0.000000, 0.995828, 0.091253, 0.000000
cut, 1.4243, -0.5015, -0.5883, 0.000000, 0.995705, 0.092581, 0.000000
cut, 1.4293, -0.5015, -0.5883, 0.000000, 0.995581, 0.093907, 0.000000
cut, 1.4343, -0.5015, -0.5882, 0.000000, 0.995455, 0.095231, 0.000000
cut, 1.4393, -0.5015, -0.5882, 0.000000, 0.995328, 0.096554, 0.000000
cut, 1.4443, -0.5015, -0.5882, 0.000000, 0.995199, 0.097875, 0.000000
cut, 1.4493, -0.5015, -0.5882, 0.000000, 0.995068, 0.099195, 0.000000
cut, 1.4543, -0.5015, -0.5881, 0.000000, 0.994936, 0.100513, 0.000000
cut, 1.4593, -0.5015, -0.5881, 0.000000, 0.994802, 0.101830, 0.000000
cut, 1.4643, -0.5015, -0.5881, 0.000000, 0.994666, 0.103145, 0.000000
cut, 1.4693, -0.5015, -0.5881, 0.000000, 0.994529, 0.104458, 0.000000
cut, 1.4743, -0.5015, -0.5880, 0.000000, 0.994391, 0.105770, 0.000000
cut, 1.4793, -0.5015, -0.5880, 0.000000, 0.994250, 0.107080, 0.000000
cut, 1.4843, -0.5015, -0.5880, 0.000000, 0.994109, 0.108388, 0.000000
cut, 1.4893, -0.5015, -0.5880, 0.000000, 0.993965, 0.109695, 0.000000
cut, 1.4943, -0.5015, -0.5879, 0.000000, 0.993820, 0.111000, 0.000000
cut, 1.4993, -0.5015, -0.5879, 0.000000, 0.993674, 0.112303, 0.000000
cut, 1.5043, -0.5015, -0.5879, 0.000000, 0.993526, 0.113604, 0.000000
cut, 1.5093, -0.5015, -0.5879, 0.000000, 0.993377, 0.114904, 0.000000
cut, 1.5143, -0.5015, -0.5878, 0.000000, 0.993226, 0.116202, 0.000000
cut, 1.5193, -0.5015, -0.5878, 0.000000, 0.993073, 0.117498, 0.000000
cut, 1.5243, -0.5015, -0.5878, 0.000000, 0.992919, 0.118792, 0.000000
cut, 1.5293, -0.5015, -0.5878, 0.000000, 0.992764, 0.120084, 0.000000
cut, 1.5343, -0.5015, -0.5877, 0.000000, 0.992607, 0.121375, 0.000000
cut, 1.5393, -0.5015, -0.5877, 0.000000, 0.992448, 0.122663, 0.000000
