NAMES,j_0_0,j_0_1,j_0_2,j_0_3,j_0_4,j_0_5,j_1_0,j_1_1,j_1_2,j_1_3,j_1_4,j_1_5,j_2_0,j_2_1,j_2_2,j_2_3,j_2_4,j_2_5,j_3_0,j_3_1,j_3_2,j_3_3,j_3_4,j_3_5,j_4_0,j_4_1,j_4_2,j_4_3,j_4_4,j_4_5,j_5_0,j_5_1,j_5_2,j_5_3,j_5_4,j_5_5,j_6_0,j_6_1,j_6_2,j_6_3,j_6_4,j_6_5,j_7_0,j_7_1,j_7_2,j_7_3,j_7_4,j_7_5,j_8_0,j_8_1,j_8_2,j_8_3,j_8_4,j_8_5,j_9_0,j_9_1,j_9_2,j_9_3,j_9_4,j_9_5,j_10_0,j_10_1,j_10_2,j_10_3,j_10_4,j_10_5,j_11_0,j_11_1,j_11_2,j_11_3,j_11_4,j_11_5,j_12_0,j_12_1,j_12_2,j_12_3,j_12_4,j_12_5,j_13_0,j_13_1,j_13_2,j_13_3,j_13_4,j_13_5,j_14_0,j_14_1,j_14_2,j_14_3,j_14_4,j_14_5,j_15_0,j_15_1,j_15_2,j_15_3,j_15_4,j_15_5,j_16_0,j_16_1,j_16_2,j_16_3,j_16_4,j_16_5,j_17_0,j_17_1,j_17_2,j_17_3,j_17_4,j_17_5,j_18_0,j_18_1,j_18_2,j_18_3,j_18_4,j_18_5,j_19_0,j_19_1,j_19_2,j_19_3,j_19_4,j_19_5
VALUES,0.886380,0.187403,0.359638,0.263943,1.265194,0.689410,0.880698,0.216329,0.346777,0.296812,1.281370,0.689415,0.880582,0.257286,0.321825,0.330482,1.297218,0.689419,0.880582,0.278910,0.317340,0.359615,1.307291,0.689418,0.880578,0.300801,0.314120,0.389176,1.316124,0.689416,0.880581,0.307959,0.326868,0.415592,1.320265,0.689417,0.885815,0.308238,0.344942,0.438642,1.320347,0.689420,0.899121,0.307959,0.359878,0.458856,1.317634,0.689419,0.913463,0.313105,0.369271,0.480655,1.315405,0.689419,0.928680,0.319668,0.377252,0.503224,1.312730,0.689420,0.943813,0.316158,0.395552,0.523442,1.307319,0.689438,0.960527,0.324875,0.401946,0.546320,1.303309,0.689423,0.977782,0.331594,0.410130,0.569085,1.298468,0.689407,0.989936,0.355313,0.406033,0.595528,1.299933,0.676511,1.022096,0.345083,0.419958,0.604745,1.291666,0.666203,1.056555,0.333048,0.433680,0.613029,1.282224,0.657414,1.093842,0.317518,0.448519,0.618958,1.271860,0.650104,1.128203,0.309997,0.457787,0.628462,1.262904,0.641372,1.166705,0.305937,0.460320,0.635317,1.254465,0.635771,1.197238,0.256794,0.511783,0.654876,1.224189,0.689399
VALUES,0.849663,0.225847,0.333669,0.294572,1.281025,0.727853,0.858591,0.217775,0.353444,0.312497,1.283185,0.727858,0.869158,0.223176,0.360268,0.333635,1.286556,0.727863,0.880923,0.240466,0.355202,0.357481,1.291698,0.727862,0.893549,0.262358,0.345797,0.382636,1.296873,0.727860,0.905782,0.269515,0.351410,0.404788,1.298250,0.727861,0.918124,0.269795,0.364327,0.425484,1.297415,0.727863,0.930959,0.269516,0.378299,0.445906,1.295580,0.727862,0.944857,0.274661,0.387083,0.467715,1.293838,0.727862,0.959555,0.281225,0.394608,0.490030,1.291474,0.727864,0.974221,0.277715,0.412257,0.510398,1.286655,0.727881,0.983491,0.286431,0.422616,0.534515,1.285940,0.719674,0.985079,0.310964,0.424458,0.563572,1.291195,0.699811,0.978945,0.354127,0.415293,0.597438,1.302935,0.667972,0.983651,0.383525,0.413521,0.626638,1.308773,0.641017,1.018094,0.371476,0.427723,0.635422,1.299331,0.632058,1.055408,0.355971,0.442603,0.642855,1.288093,0.624802,1.089769,0.348449,0.452303,0.652913,1.279276,0.616287,1.135835,0.344381,0.448419,0.658561,1.267694,0.617854,1.158794,0.289691,0.504559,0.693319,1.221704,0.727843
VALUES,0.903000,0.234924,0.306890,0.284049,1.258524,0.785518,0.912056,0.227710,0.324373,0.302647,1.261062,0.785523,0.921374,0.220215,0.342211,0.321182,1.262823,0.785528,0.931064,0.212455,0.360595,0.339686,1.263562,0.785527,0.941307,0.204693,0.379584,0.358259,1.263088,0.785525,0.953075,0.211851,0.384191,0.380386,1.264953,0.785527,0.964862,0.212129,0.396055,0.401144,1.264866,0.785527,0.977326,0.211856,0.408734,0.422089,1.263666,0.785532,0.984529,0.216996,0.419868,0.445251,1.265336,0.778616,0.991455,0.223556,0.430818,0.469256,1.266575,0.770187,1.002162,0.224257,0.445861,0.491538,1.264773,0.765776,0.994752,0.262644,0.437916,0.526404,1.276962,0.735433,0.984497,0.310095,0.425674,0.563336,1.291326,0.699321,0.978310,0.353110,0.416676,0.597099,1.302898,0.667376,0.973007,0.392443,0.414463,0.630204,1.313192,0.634252,0.967661,0.422432,0.421691,0.661666,1.320969,0.600220,0.997742,0.413633,0.436736,0.675401,1.311877,0.587718,1.032103,0.406114,0.447212,0.686369,1.303197,0.579282,1.136862,0.402046,0.390754,0.673067,1.274817,0.631048,1.206790,0.312085,0.446895,0.734475,1.164042,0.785509
VALUES,0.972608,0.150707,0.368799,0.235881,1.205311,0.872016,0.981524,0.144312,0.383059,0.255547,1.209503,0.872021,0.990757,0.138263,0.397476,0.275355,1.212999,0.872025,1.000337,0.132575,0.412029,0.295315,1.215797,0.872025,1.010299,0.127229,0.426721,0.315443,1.217880,0.872023,1.021001,0.125353,0.438409,0.336259,1.219024,0.872022,1.029581,0.125630,0.449618,0.358538,1.221221,0.868893,1.038304,0.125359,0.462069,0.380920,1.222560,0.865348,1.043906,0.130496,0.471502,0.406427,1.225382,0.856720,1.034313,0.164527,0.463149,0.442966,1.238898,0.826692,1.015329,0.218699,0.443761,0.485951,1.258922,0.782333,1.000063,0.268972,0.428646,0.526584,1.275976,0.741172,0.989378,0.316301,0.416435,0.564082,1.290581,0.704460,0.982786,0.360825,0.406860,0.599131,1.302839,0.671370,0.980149,0.401424,0.400268,0.631892,1.312467,0.641933,0.980806,0.439112,0.396096,0.663392,1.319921,0.614880,0.983728,0.474771,0.393515,0.693555,1.325295,0.589321,0.998301,0.492610,0.397724,0.717402,1.324367,0.569536,1.127173,0.488546,0.304260,0.759564,1.240119,0.680654,1.253500,0.355957,0.360397,0.692331,1.163678,0.872007
VALUES,1.069505,0.021684,0.474912,0.151452,1.138758,1.001762,1.078630,0.015531,0.485448,0.172529,1.144821,1.001767,1.087922,0.009931,0.496000,0.193775,1.150218,1.001771,1.097429,0.004795,0.506656,0.215185,1.154889,1.001769,1.107238,-0.000230,0.517734,0.236733,1.158661,1.001772,1.117275,-0.004393,0.528690,0.258302,1.161597,1.001767,1.127688,0.022323,0.510607,0.287557,1.167377,0.998638,1.136416,0.084797,0.460563,0.325823,1.177227,0.989427,1.116596,0.178524,0.395256,0.383649,1.201700,0.941406,1.101448,0.247707,0.352111,0.435361,1.221693,0.900215,1.082539,0.301645,0.327089,0.484932,1.242965,0.854927,1.064752,0.349429,0.311280,0.530387,1.262896,0.810853,1.051719,0.395523,0.297731,0.571976,1.280512,0.771748,1.043140,0.438856,0.286860,0.610309,1.295565,0.736990,1.038626,0.478552,0.279172,0.645970,1.307768,0.705848,1.037351,0.516037,0.273380,0.679790,1.317939,0.677516,1.038938,0.552168,0.268499,0.712106,1.326683,0.651312,1.043888,0.582680,0.267979,0.741922,1.331257,0.628132,1.165025,0.467903,0.289581,0.709793,1.246186,0.781918,1.272277,0.328034,0.372238,0.655332,1.169571,0.918326
VALUES,0.980642,0.142151,0.377578,0.224944,1.202578,0.884990,0.989666,0.135554,0.391760,0.244672,1.206758,0.884995,0.998991,0.129289,0.406088,0.264560,1.210242,0.885000,1.008648,0.123347,0.420557,0.284614,1.213017,0.884999,1.018679,0.117715,0.435167,0.304835,1.215070,0.884998,1.029117,0.112378,0.449926,0.325213,1.216367,0.884996,1.037842,0.112655,0.460600,0.347975,1.218511,0.881868,1.046676,0.112385,0.472490,0.370844,1.219883,0.878322,1.053212,0.128384,0.470911,0.398677,1.223476,0.869695,1.041379,0.173407,0.452146,0.440526,1.238040,0.835049,1.020705,0.225483,0.434347,0.485731,1.257679,0.788191,1.005181,0.275423,0.419262,0.526867,1.274959,0.746708,0.994328,0.322623,0.406967,0.564684,1.289777,0.709821,0.987669,0.366739,0.397434,0.599855,1.302136,0.676807,0.984756,0.407645,0.390540,0.632961,1.312121,0.647027,0.985179,0.445363,0.386092,0.664504,1.319884,0.619921,0.988584,0.480019,0.383861,0.694903,1.325607,0.595021,0.999502,0.505584,0.384750,0.730377,1.321730,0.565796,1.123922,0.484015,0.317234,0.759309,1.244638,0.693629,1.251667,0.350598,0.366637,0.679357,1.176653,0.879978
VALUES,0.995401,0.122832,0.393233,0.212758,1.192408,0.904452,1.004447,0.116322,0.406806,0.232707,1.196900,0.904457,1.013776,0.110142,0.420538,0.252813,1.200680,0.904462,1.023417,0.104318,0.434394,0.273086,1.203755,0.904461,1.033413,0.098809,0.448403,0.293521,1.206096,0.904460,1.043798,0.093659,0.462506,0.314126,1.207716,0.904458,1.052402,0.093194,0.473430,0.336957,1.209975,0.901330,1.061323,0.095070,0.482763,0.360448,1.211710,0.897783,1.068893,0.124468,0.467626,0.391012,1.216298,0.889160,1.049881,0.184361,0.437431,0.439703,1.235891,0.844398,1.030741,0.237842,0.416803,0.485451,1.255300,0.799111,1.014846,0.287656,0.401386,0.527287,1.273099,0.757243,1.003588,0.334757,0.388845,0.565764,1.288398,0.719950,0.996600,0.378749,0.379111,0.601467,1.301184,0.686634,0.993570,0.419035,0.372353,0.634897,1.311361,0.656743,0.993728,0.456601,0.367772,0.666814,1.319470,0.629435,0.996575,0.492517,0.364399,0.697682,1.326092,0.604255,1.000287,0.525037,0.365282,0.730309,1.329360,0.563650,1.135331,0.465778,0.324520,0.749208,1.236566,0.713088,1.250110,0.370071,0.347186,0.677486,1.187627,0.882279
VALUES,0.982248,0.142174,0.377214,0.224123,1.201916,0.886936,0.991277,0.135584,0.391354,0.243868,1.206104,0.886941,1.000605,0.129328,0.405638,0.263773,1.209595,0.886946,1.010264,0.123396,0.420062,0.283843,1.212378,0.886945,1.020294,0.117775,0.434626,0.304079,1.214440,0.886944,1.030733,0.112455,0.449321,0.324484,1.215770,0.886943,1.039292,0.110710,0.461923,0.346873,1.217750,0.883814,1.048116,0.110439,0.473757,0.369761,1.219148,0.880268,1.054774,0.128109,0.470493,0.397903,1.222836,0.871641,1.041976,0.175113,0.450203,0.440682,1.238154,0.835665,1.021313,0.227134,0.432404,0.485917,1.257811,0.788824,1.005800,0.277016,0.417319,0.527073,1.275113,0.747363,0.994956,0.324163,0.405024,0.564909,1.289949,0.710495,0.988307,0.368231,0.395491,0.600096,1.302322,0.677501,0.985402,0.409086,0.388597,0.633216,1.312320,0.647740,0.985837,0.446758,0.384150,0.664766,1.320090,0.620654,0.989228,0.481402,0.381918,0.695186,1.325817,0.595748,1.001445,0.505676,0.382801,0.732323,1.319950,0.563849,1.122837,0.482338,0.315287,0.757359,1.242683,0.695577,1.252097,0.352208,0.364691,0.677721,1.178603,0.881922
VALUES,0.992091,0.128320,0.388582,0.215768,1.194916,0.899990,1.001134,0.121782,0.402312,0.235663,1.199319,0.899995,1.010462,0.115590,0.416181,0.255718,1.203023,0.900000,1.020109,0.109739,0.430187,0.275937,1.206016,0.899999,1.030113,0.104213,0.444330,0.296321,1.208284,0.899998,1.040514,0.099002,0.458605,0.316872,1.209816,0.899996,1.049064,0.097656,0.470500,0.339482,1.211953,0.896868,1.057834,0.097384,0.482028,0.362516,1.213472,0.893322,1.065162,0.123833,0.469893,0.392474,1.217834,0.884695,1.047329,0.180895,0.442002,0.439891,1.236516,0.841592,1.027741,0.234249,0.421945,0.485522,1.256053,0.795867,1.011951,0.283965,0.406760,0.527162,1.273635,0.754085,1.000879,0.330954,0.394377,0.565391,1.288733,0.716971,0.993990,0.375011,0.384671,0.600934,1.301405,0.683751,0.990872,0.415849,0.377631,0.634352,1.311675,0.653805,0.991140,0.453383,0.373140,0.666136,1.319645,0.626582,0.994329,0.488281,0.370546,0.696759,1.325731,0.601583,1.000041,0.520584,0.369752,0.726521,1.330046,0.578194,1.127206,0.494322,0.302234,0.748020,1.255531,0.708629,1.244130,0.365598,0.357319,0.680995,1.189310,0.872924
VALUES,1.008918,0.105819,0.407039,0.201314,1.183548,0.922489,1.018005,0.099282,0.420163,0.221452,1.188259,0.922495,1.027339,0.093213,0.433324,0.241757,1.192316,0.922500,1.036974,0.087470,0.446652,0.262223,1.195639,0.922499,1.046945,0.082071,0.460116,0.282851,1.198230,0.922498,1.057291,0.077024,0.473698,0.303645,1.200083,0.922496,1.065746,0.075285,0.485418,0.326436,1.202427,0.919368,1.075566,0.088980,0.482879,0.352311,1.205113,0.915822,1.076639,0.131579,0.457601,0.388813,1.213808,0.898086,1.056909,0.193055,0.425498,0.438769,1.234085,0.852193,1.036706,0.245798,0.405640,0.485141,1.254097,0.805779,1.020590,0.295203,0.390339,0.527424,1.272057,0.763628,1.009193,0.342028,0.377772,0.566222,1.287556,0.726190,1.002034,0.385888,0.367933,0.602226,1.300579,0.692727,0.998664,0.426617,0.360716,0.636036,1.311201,0.662585,0.998669,0.464232,0.355928,0.668161,1.319570,0.635199,1.001207,0.500130,0.352540,0.699299,1.326385,0.609383,1.004313,0.539417,0.347253,0.730679,1.333798,0.582284,1.134064,0.508348,0.279733,0.733268,1.268641,0.731128,1.229801,0.375318,0.359942,0.691828,1.197408,0.850424
