[rosmaster.master][INFO] 2021-04-16 10:47:49,452: +SERVICE [/tesseract_ros_examples/save_scene_graph] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,453: +PUB [/tesseract_ros_examples/tesseract_published_environment] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,455: +SERVICE [/Freespace/modify_tesseract] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,455: +SERVICE [/Freespace/get_tesseract_changes] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,455: +SERVICE [/Freespace/get_tesseract_information] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,456: +SERVICE [/Freespace/save_scene_graph] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,456: +PUB [/tesseract/display_tesseract_trajectory] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,457: +PUB [/tesseract/display_collisions] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,457: +PUB [/tesseract/display_arrows] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,457: +PUB [/tesseract/display_axes] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,458: +PUB [/tesseract/display_tool_path] /wire_cutting_wire_cutting_node http://HP-Spectre:36051/
[rosmaster.master][INFO] 2021-04-16 10:47:49,486: +PUB [/initialpose] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,487: +PUB [/goal] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,599: +SUB [/joint_states] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,599: -SUB [/joint_states] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,601: +SUB [/joint_states] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,609: +SUB [/tesseract/display_tesseract_trajectory] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,613: +SUB [/visualization_marker_array] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,613: -SUB [/visualization_marker_array] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,615: +SUB [/tesseract/display_collisions] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,618: +SUB [/tesseract/display_tool_path] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,618: -PUB [/goal] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
[rosmaster.master][INFO] 2021-04-16 10:47:49,619: -PUB [/initialpose] /wire_cutting_wire_cutting_rviz http://HP-Spectre:36089/
