bbox, 209.2779, 7424.8696, -3101.8853, 1737.4181, 725.7474, 1045.6676
cut, -0.3674, 1.9814, -0.7199, -0.164873, -0.590871, 0.760681, 0.212256
cut, -0.3916, 1.9752, -0.7199, -0.171810, -0.588891, 0.758133, 0.221186
cut, -0.4158, 1.9690, -0.7198, -0.178522, -0.586891, 0.755558, 0.229827
cut, -0.4400, 1.9628, -0.7198, -0.185012, -0.584878, 0.752966, 0.238183
cut, -0.4642, 1.9566, -0.7198, -0.191285, -0.582856, 0.750363, 0.246258
cut, -0.4885, 1.9505, -0.7197, -0.197344, -0.580833, 0.747758, 0.254059
cut, -0.5127, 1.9443, -0.7197, -0.203196, -0.578812, 0.745156, 0.261592
cut, -0.5369, 1.9381, -0.7196, -0.208844, -0.576798, 0.742564, 0.268864
cut, -0.5611, 1.9319, -0.7196, -0.214295, -0.574795, 0.739985, 0.275881
cut, -0.5854, 1.9257, -0.7196, -0.219555, -0.572807, 0.737425, 0.282652
cut, -0.6096, 1.9195, -0.7195, -0.224629, -0.570836, 0.734888, 0.289185
cut, -0.6338, 1.9133, -0.7195, -0.229524, -0.568885, 0.732377, 0.295487
cut, -0.6580, 1.9072, -0.7195, -0.234246, -0.566957, 0.729895, 0.301566
cut, -0.6823, 1.9010, -0.7194, -0.238802, -0.565053, 0.727444, 0.307431
cut, -0.7065, 1.8948, -0.7194, -0.243196, -0.563176, 0.725027, 0.313088
cut, -0.7307, 1.8886, -0.7194, -0.247436, -0.561326, 0.722646, 0.318546
cut, -0.7549, 1.8824, -0.7193, -0.251527, -0.559505, 0.720301, 0.323813
cut, -0.7791, 1.8762, -0.7193, -0.255475, -0.557713, 0.717995, 0.328895
cut, -0.8034, 1.8701, -0.7192, -0.259285, -0.555952, 0.715727, 0.333801
cut, -0.8276, 1.8639, -0.7192, -0.262963, -0.554222, 0.713500, 0.338536
cut, -0.8413, 1.6569, -0.7144, -0.262348, -0.554513, 0.713875, 0.337744
cut, -0.8413, 1.6489, -0.6907, -0.248072, -0.561045, 0.722284, 0.319365
cut, -0.8413, 1.6410, -0.6670, -0.231794, -0.567964, 0.731191, 0.298409
cut, -0.8413, 1.6331, -0.6433, -0.213215, -0.575196, 0.740502, 0.274491
cut, -0.8413, 1.6252, -0.6196, -0.192035, -0.582610, 0.750046, 0.247224
cut, -0.8413, 1.6173, -0.5959, -0.167987, -0.589993, 0.759551, 0.216265
cut, -0.8413, 1.6093, -0.5722, -0.140895, -0.597043, 0.768627, 0.181386
cut, -0.8413, 1.6014, -0.5485, -0.110754, -0.603361, 0.776761, 0.142584
cut, -0.8413, 1.5935, -0.5248, -0.077822, -0.608486, 0.783359, 0.100187
cut, -0.8413, 1.5856, -0.5010, -0.042677, -0.611956, 0.787826, 0.054942
cut, -0.8413, 1.5776, -0.4773, -0.006218, -0.613411, 0.789699, 0.008005
