NAMES,j_0_0,j_0_1,j_0_2,j_0_3,j_0_4,j_0_5,j_1_0,j_1_1,j_1_2,j_1_3,j_1_4,j_1_5,j_2_0,j_2_1,j_2_2,j_2_3,j_2_4,j_2_5,j_3_0,j_3_1,j_3_2,j_3_3,j_3_4,j_3_5,j_4_0,j_4_1,j_4_2,j_4_3,j_4_4,j_4_5,j_5_0,j_5_1,j_5_2,j_5_3,j_5_4,j_5_5,j_6_0,j_6_1,j_6_2,j_6_3,j_6_4,j_6_5,j_7_0,j_7_1,j_7_2,j_7_3,j_7_4,j_7_5,j_8_0,j_8_1,j_8_2,j_8_3,j_8_4,j_8_5,j_9_0,j_9_1,j_9_2,j_9_3,j_9_4,j_9_5,j_10_0,j_10_1,j_10_2,j_10_3,j_10_4,j_10_5
VALUES,1.987849e+00,9.971227e-01,-1.134467e+00,2.964450e-02,1.695024e+00,-1.148257e+00,1.994723e+00,1.013391e+00,-1.151926e+00,2.006910e-02,1.700293e+00,-1.142564e+00,1.999216e+00,1.020583e+00,-1.155339e+00,1.379932e-02,1.699258e+00,-1.138932e+00,2.003426e+00,1.027103e+00,-1.157712e+00,7.921840e-03,1.697749e+00,-1.135506e+00,2.007840e+00,1.033688e+00,-1.160096e+00,1.774207e-03,1.696223e+00,-1.131860e+00,2.009586e+00,1.033497e+00,-1.152136e+00,-6.827886e-04,1.689946e+00,-1.130497e+00,2.007820e+00,1.033618e+00,-1.159991e+00,1.801736e-03,1.696174e+00,-1.131877e+00,2.003386e+00,1.027035e+00,-1.157608e+00,7.976239e-03,1.697701e+00,-1.135540e+00,1.999188e+00,1.020561e+00,-1.155304e+00,1.383718e-02,1.699240e+00,-1.138956e+00,1.994712e+00,1.013368e+00,-1.151888e+00,2.008468e-02,1.700272e+00,-1.142574e+00,1.987821e+00,9.971215e-01,-1.134465e+00,2.968256e-02,1.695021e+00,-1.148281e+00
VALUES,1.990115e+00,1.006534e+00,-1.148987e+00,2.650113e-02,1.701488e+00,-1.146276e+00,1.992199e+00,1.003704e+00,-1.137017e+00,2.356889e-02,1.693588e+00,-1.144791e+00,1.996154e+00,1.008661e+00,-1.137019e+00,1.804758e-02,1.691017e+00,-1.141608e+00,2.000028e+00,1.013640e+00,-1.137027e+00,1.264289e-02,1.688426e+00,-1.138451e+00,2.003820e+00,1.018633e+00,-1.137027e+00,7.356406e-03,1.685808e+00,-1.135323e+00,2.007532e+00,1.023644e+00,-1.137027e+00,2.185017e-03,1.683166e+00,-1.132221e+00,2.003820e+00,1.018633e+00,-1.137027e+00,7.356405e-03,1.685808e+00,-1.135323e+00,2.000028e+00,1.013640e+00,-1.137027e+00,1.264288e-02,1.688426e+00,-1.138451e+00,1.996154e+00,1.008661e+00,-1.137019e+00,1.804758e-02,1.691017e+00,-1.141608e+00,1.992199e+00,1.003704e+00,-1.137017e+00,2.356889e-02,1.693588e+00,-1.144791e+00,1.990115e+00,1.006534e+00,-1.148987e+00,2.650113e-02,1.701488e+00,-1.146276e+00
VALUES,1.988147e+00,9.984721e-01,-1.136550e+00,2.922963e-02,1.695949e+00,-1.147996e+00,1.994275e+00,1.011786e+00,-1.149454e+00,2.069078e-02,1.699177e+00,-1.142960e+00,1.998213e+00,1.016752e+00,-1.149456e+00,1.519015e-02,1.696612e+00,-1.139808e+00,2.002070e+00,1.021742e+00,-1.149464e+00,9.806486e-03,1.694026e+00,-1.136683e+00,2.005845e+00,1.026744e+00,-1.149464e+00,4.540562e-03,1.691412e+00,-1.133584e+00,2.009103e+00,1.029992e+00,-1.146752e+00,-8.001552e-07,1.687551e+00,-1.130884e+00,2.005845e+00,1.026744e+00,-1.149464e+00,4.540556e-03,1.691412e+00,-1.133584e+00,2.002070e+00,1.021742e+00,-1.149464e+00,9.806479e-03,1.694026e+00,-1.136683e+00,1.998213e+00,1.016752e+00,-1.149456e+00,1.519015e-02,1.696612e+00,-1.139808e+00,1.994275e+00,1.011786e+00,-1.149454e+00,2.069078e-02,1.699177e+00,-1.142960e+00,1.988147e+00,9.984721e-01,-1.136550e+00,2.922963e-02,1.695949e+00,-1.147996e+00
VALUES,1.987733e+00,9.971137e-01,-1.134464e+00,2.980230e-02,1.694990e+00,-1.148380e+00,1.991838e+00,1.002051e+00,-1.134464e+00,2.407042e-02,1.692464e+00,-1.145092e+00,1.995796e+00,1.007004e+00,-1.134464e+00,1.854606e-02,1.689893e+00,-1.141903e+00,1.999672e+00,1.011977e+00,-1.134464e+00,1.313952e-02,1.687297e+00,-1.138741e+00,2.003467e+00,1.016969e+00,-1.134464e+00,7.849574e-03,1.684678e+00,-1.135607e+00,2.007161e+00,1.021975e+00,-1.134464e+00,2.703105e-03,1.682027e+00,-1.132524e+00,2.003467e+00,1.016969e+00,-1.134464e+00,7.849574e-03,1.684678e+00,-1.135607e+00,1.999672e+00,1.011977e+00,-1.134464e+00,1.313952e-02,1.687297e+00,-1.138741e+00,1.995796e+00,1.007004e+00,-1.134464e+00,1.854606e-02,1.689893e+00,-1.141903e+00,1.991838e+00,1.002051e+00,-1.134464e+00,2.407042e-02,1.692464e+00,-1.145092e+00,1.987733e+00,9.971137e-01,-1.134464e+00,2.980230e-02,1.694990e+00,-1.148380e+00
VALUES,1.991793e+00,1.012777e+00,-1.158599e+00,2.417893e-02,1.705826e+00,-1.144769e+00,1.994228e+00,1.011606e+00,-1.149177e+00,2.075551e-02,1.699053e+00,-1.143002e+00,1.999339e+00,1.021181e+00,-1.156263e+00,1.362706e-02,1.699674e+00,-1.138825e+00,2.003353e+00,1.026831e+00,-1.157276e+00,8.024804e-03,1.697543e+00,-1.135572e+00,2.007655e+00,1.033993e+00,-1.160579e+00,2.024115e-03,1.696420e+00,-1.132030e+00,2.009973e+00,1.033509e+00,-1.152138e+00,-1.211449e-03,1.689980e+00,-1.130144e+00,2.007642e+00,1.033938e+00,-1.160494e+00,2.043246e-03,1.696382e+00,-1.132042e+00,2.003338e+00,1.026771e+00,-1.157184e+00,8.045884e-03,1.697502e+00,-1.135585e+00,1.999329e+00,1.021142e+00,-1.156202e+00,1.364107e-02,1.699646e+00,-1.138834e+00,1.994220e+00,1.011576e+00,-1.149131e+00,2.076608e-02,1.699032e+00,-1.143009e+00,1.991752e+00,1.012617e+00,-1.158354e+00,2.423623e-02,1.705716e+00,-1.144805e+00
VALUES,1.988299e+00,9.993040e-01,-1.137839e+00,2.901752e-02,1.696505e+00,-1.147876e+00,1.992336e+00,1.004238e+00,-1.137839e+00,2.337884e-02,1.693957e+00,-1.144670e+00,1.996290e+00,1.009194e+00,-1.137839e+00,1.785932e-02,1.691386e+00,-1.141490e+00,2.000162e+00,1.014169e+00,-1.137839e+00,1.245767e-02,1.688792e+00,-1.138336e+00,2.003952e+00,1.019163e+00,-1.137839e+00,7.172542e-03,1.686174e+00,-1.135209e+00,2.007663e+00,1.024174e+00,-1.137839e+00,2.002494e-03,1.683532e+00,-1.132110e+00,2.003952e+00,1.019163e+00,-1.137839e+00,7.172542e-03,1.686174e+00,-1.135209e+00,2.000162e+00,1.014169e+00,-1.137839e+00,1.245767e-02,1.688792e+00,-1.138336e+00,1.996290e+00,1.009194e+00,-1.137839e+00,1.785932e-02,1.691386e+00,-1.141490e+00,1.992336e+00,1.004238e+00,-1.137839e+00,2.337884e-02,1.693957e+00,-1.144670e+00,1.988299e+00,9.993040e-01,-1.137839e+00,2.901752e-02,1.696505e+00,-1.147876e+00
VALUES,1.990255e+00,1.006848e+00,-1.149464e+00,2.630890e-02,1.701724e+00,-1.146137e+00,1.994253e+00,1.011793e+00,-1.149464e+00,2.072029e-02,1.699180e+00,-1.142980e+00,1.998184e+00,1.016757e+00,-1.149464e+00,1.523055e-02,1.696613e+00,-1.139835e+00,2.002048e+00,1.021742e+00,-1.149464e+00,9.837290e-03,1.694024e+00,-1.136703e+00,2.005836e+00,1.026744e+00,-1.149464e+00,4.554118e-03,1.691411e+00,-1.133593e+00,2.009102e+00,1.029992e+00,-1.146751e+00,1.078050e-07,1.687551e+00,-1.130885e+00,2.005834e+00,1.026744e+00,-1.149464e+00,4.555752e-03,1.691411e+00,-1.133594e+00,2.002046e+00,1.021742e+00,-1.149464e+00,9.839759e-03,1.694024e+00,-1.136704e+00,1.998182e+00,1.016757e+00,-1.149464e+00,1.523269e-02,1.696613e+00,-1.139837e+00,1.994253e+00,1.011793e+00,-1.149464e+00,2.072123e-02,1.699180e+00,-1.142980e+00,1.990255e+00,1.006848e+00,-1.149464e+00,2.630847e-02,1.701724e+00,-1.146136e+00
VALUES,1.987987e+00,9.980872e-01,-1.135964e+00,2.945020e-02,1.695663e+00,-1.148154e+00,1.992007e+00,1.003020e+00,-1.135964e+00,2.383419e-02,1.693113e+00,-1.144960e+00,1.995945e+00,1.007974e+00,-1.135964e+00,1.833773e-02,1.690540e+00,-1.141792e+00,1.999803e+00,1.012947e+00,-1.135964e+00,1.295469e-02,1.687944e+00,-1.138648e+00,2.003586e+00,1.017939e+00,-1.135964e+00,7.681267e-03,1.685324e+00,-1.135527e+00,2.007295e+00,1.022948e+00,-1.135964e+00,2.513799e-03,1.682680e+00,-1.132427e+00,2.003586e+00,1.017939e+00,-1.135964e+00,7.681102e-03,1.685324e+00,-1.135526e+00,1.999803e+00,1.012947e+00,-1.135964e+00,1.295430e-02,1.687944e+00,-1.138647e+00,1.995945e+00,1.007974e+00,-1.135964e+00,1.833714e-02,1.690540e+00,-1.141791e+00,1.992008e+00,1.003020e+00,-1.135964e+00,2.383368e-02,1.693113e+00,-1.144959e+00,1.987987e+00,9.980872e-01,-1.135964e+00,2.945011e-02,1.695663e+00,-1.148154e+00
VALUES,1.990253e+00,1.006848e+00,-1.149464e+00,2.631157e-02,1.701724e+00,-1.146138e+00,1.994260e+00,1.011793e+00,-1.149464e+00,2.071125e-02,1.699180e+00,-1.142974e+00,1.998220e+00,1.016758e+00,-1.149464e+00,1.518083e-02,1.696616e+00,-1.139803e+00,2.002091e+00,1.021743e+00,-1.149464e+00,9.778246e-03,1.694028e+00,-1.136664e+00,2.005860e+00,1.026745e+00,-1.149464e+00,4.520364e-03,1.691413e+00,-1.133571e+00,2.009103e+00,1.029985e+00,-1.146741e+00,-9.495800e-07,1.687546e+00,-1.130884e+00,2.005862e+00,1.026745e+00,-1.149464e+00,4.518202e-03,1.691414e+00,-1.133569e+00,2.002092e+00,1.021743e+00,-1.149464e+00,9.776552e-03,1.694028e+00,-1.136663e+00,1.998219e+00,1.016758e+00,-1.149464e+00,1.518164e-02,1.696616e+00,-1.139803e+00,1.994260e+00,1.011793e+00,-1.149464e+00,2.071093e-02,1.699180e+00,-1.142974e+00,1.990254e+00,1.006848e+00,-1.149464e+00,2.631034e-02,1.701724e+00,-1.146138e+00
VALUES,1.987992e+00,9.980872e-01,-1.135964e+00,2.944338e-02,1.695663e+00,-1.148150e+00,1.992042e+00,1.003020e+00,-1.135964e+00,2.378688e-02,1.693116e+00,-1.144929e+00,1.995992e+00,1.007974e+00,-1.135964e+00,1.827303e-02,1.690544e+00,-1.141750e+00,1.999832e+00,1.012948e+00,-1.135964e+00,1.291566e-02,1.687946e+00,-1.138622e+00,2.003610e+00,1.017939e+00,-1.135964e+00,7.648057e-03,1.685326e+00,-1.135505e+00,2.007321e+00,1.022948e+00,-1.135964e+00,2.477487e-03,1.682683e+00,-1.132403e+00,2.003610e+00,1.017939e+00,-1.135964e+00,7.648312e-03,1.685326e+00,-1.135505e+00,1.999832e+00,1.012948e+00,-1.135964e+00,1.291582e-02,1.687946e+00,-1.138622e+00,1.995992e+00,1.007974e+00,-1.135964e+00,1.827250e-02,1.690544e+00,-1.141749e+00,1.992042e+00,1.003020e+00,-1.135964e+00,2.378614e-02,1.693116e+00,-1.144929e+00,1.987992e+00,9.980872e-01,-1.135964e+00,2.944347e-02,1.695663e+00,-1.148150e+00
VALUES,1.987732e+00,9.971137e-01,-1.134464e+00,2.980321e-02,1.694989e+00,-1.148381e+00,1.991773e+00,1.002045e+00,-1.134464e+00,2.415884e-02,1.692440e+00,-1.145166e+00,1.995732e+00,1.006998e+00,-1.134464e+00,1.863372e-02,1.689868e+00,-1.141977e+00,1.999608e+00,1.011971e+00,-1.134464e+00,1.322651e-02,1.687273e+00,-1.138815e+00,2.003404e+00,1.016962e+00,-1.134464e+00,7.935807e-03,1.684654e+00,-1.135680e+00,2.007119e+00,1.021970e+00,-1.134464e+00,2.760225e-03,1.682010e+00,-1.132573e+00,2.003404e+00,1.016962e+00,-1.134464e+00,7.935807e-03,1.684654e+00,-1.135680e+00,1.999608e+00,1.011971e+00,-1.134464e+00,1.322651e-02,1.687273e+00,-1.138815e+00,1.995732e+00,1.006998e+00,-1.134464e+00,1.863372e-02,1.689868e+00,-1.141977e+00,1.991773e+00,1.002045e+00,-1.134464e+00,2.415884e-02,1.692440e+00,-1.145166e+00,1.987732e+00,9.971137e-01,-1.134464e+00,2.980321e-02,1.694989e+00,-1.148381e+00
VALUES,1.988300e+00,9.993040e-01,-1.137839e+00,2.901720e-02,1.696505e+00,-1.147876e+00,1.992328e+00,1.004238e+00,-1.137839e+00,2.338936e-02,1.693956e+00,-1.144677e+00,1.996289e+00,1.009194e+00,-1.137839e+00,1.786002e-02,1.691386e+00,-1.141490e+00,2.000176e+00,1.014170e+00,-1.137839e+00,1.243827e-02,1.688793e+00,-1.138323e+00,2.003977e+00,1.019164e+00,-1.137839e+00,7.139148e-03,1.686176e+00,-1.135187e+00,2.007697e+00,1.024175e+00,-1.137839e+00,1.956132e-03,1.683535e+00,-1.132079e+00,2.003977e+00,1.019164e+00,-1.137839e+00,7.139466e-03,1.686176e+00,-1.135187e+00,2.000176e+00,1.014170e+00,-1.137839e+00,1.243864e-02,1.688793e+00,-1.138323e+00,1.996289e+00,1.009194e+00,-1.137839e+00,1.785987e-02,1.691386e+00,-1.141490e+00,1.992329e+00,1.004238e+00,-1.137839e+00,2.338878e-02,1.693956e+00,-1.144676e+00,1.988299e+00,9.993040e-01,-1.137839e+00,2.901753e-02,1.696505e+00,-1.147876e+00
