bbox, -754.0833, 1456.7267, -1744.6004, 1510.2125, 587.9106, 1006.8083
cut, 0.8956, 2.5579, -0.6550, 0.264667, -0.553410, 0.712455, -0.340730
cut, 0.8956, 2.3680, -0.6550, 0.264667, -0.553410, 0.712455, -0.340730
cut, 0.8907, 2.3667, -0.6550, 0.263961, -0.553747, 0.712889, -0.339821
cut, 0.8859, 2.3655, -0.6550, 0.263250, -0.554086, 0.713324, -0.338906
cut, 0.8810, 2.3643, -0.6550, 0.262535, -0.554425, 0.713761, -0.337984
cut, 0.8762, 2.3630, -0.6550, 0.261814, -0.554766, 0.714200, -0.337056
cut, 0.8713, 2.3618, -0.6550, 0.261088, -0.555108, 0.714640, -0.336122
cut, 0.8665, 2.3606, -0.6550, 0.260357, -0.555451, 0.715082, -0.335181
cut, 0.8617, 2.3593, -0.6550, 0.259621, -0.555795, 0.715525, -0.334234
cut, 0.8568, 2.3581, -0.6550, 0.258880, -0.556141, 0.715970, -0.333280
cut, 0.8520, 2.3568, -0.6550, 0.258134, -0.556488, 0.716416, -0.332319
cut, 0.8471, 2.3556, -0.6550, 0.257382, -0.556836, 0.716864, -0.331352
cut, 0.8423, 2.3544, -0.6550, 0.256626, -0.557185, 0.717314, -0.330377
cut, 0.8374, 2.3531, -0.6549, 0.255864, -0.557535, 0.717765, -0.329396
cut, 0.8326, 2.3519, -0.6549, 0.255096, -0.557887, 0.718218, -0.328408
cut, 0.8277, 2.3507, -0.6549, 0.254323, -0.558239, 0.718672, -0.327413
cut, 0.8229, 2.3494, -0.6549, 0.253545, -0.558593, 0.719127, -0.326411
cut, 0.8181, 2.3482, -0.6549, 0.252761, -0.558948, 0.719584, -0.325402
cut, 0.8132, 2.3469, -0.6549, 0.251972, -0.559305, 0.720043, -0.324386
cut, 0.8084, 2.3457, -0.6549, 0.251177, -0.559662, 0.720503, -0.323363
cut, 0.8035, 2.3445, -0.6549, 0.250376, -0.560021, 0.720965, -0.322332
cut, 0.7987, 2.3432, -0.6549, 0.249570, -0.560380, 0.721428, -0.321294
cut, 0.7938, 2.3420, -0.6549, 0.248758, -0.560741, 0.721893, -0.320249
cut, 0.7890, 2.3408, -0.6549, 0.247941, -0.561103, 0.722359, -0.319196
cut, 0.7841, 2.3395, -0.6549, 0.247117, -0.561467, 0.722826, -0.318136
cut, 0.7793, 2.3383, -0.6549, 0.246288, -0.561831, 0.723295, -0.317069
cut, 0.7745, 2.3371, -0.6549, 0.245453, -0.562196, 0.723766, -0.315993
cut, 0.7696, 2.3358, -0.6548, 0.244612, -0.562563, 0.724237, -0.314910
cut, 0.7648, 2.3346, -0.6548, 0.243764, -0.562930, 0.724711, -0.313820
cut, 0.7599, 2.3333, -0.6548, 0.242911, -0.563299, 0.725185, -0.312722
cut, 0.7551, 2.3321, -0.6548, 0.242052, -0.563669, 0.725661, -0.311615
cut, 0.7502, 2.3309, -0.6548, 0.241187, -0.564039, 0.726139, -0.310501
cut, 0.7454, 2.3296, -0.6548, 0.240315, -0.564411, 0.726617, -0.309379
